LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,,
2010-11,611,Bibb County,198,Westside High School,Mathematics,1267239,84799,1019,179,490,427,418,,
2010-11,611,Bibb County,198,Westside High School,Reading,1267239,84686,1021,177,486,434,418,,
2010-11,611,Bibb County,198,Westside High School,Writing,1267239,83235,1009,175,361,324,318,,
2017-18,602,Atkinson County,103,Atkinson County High School,Combined Test Score,2136539,65795,55,55,1052,994,994,,NEW SCALE
2010-11,611,Bibb County,204,Rutland High School,Mathematics,1267239,84799,1019,177,490,427,455,,
2010-11,611,Bibb County,204,Rutland High School,Reading,1267239,84686,1021,182,486,434,458,,
2010-11,611,Bibb County,204,Rutland High School,Writing,1267239,83235,1009,177,361,324,348,,
2018-19,602,Atkinson County,103,Atkinson County High School,Combined Test Score,2220087,49345,57,57,1027,952,952,,NEW SCALE
2010-11,611,Bibb County,286,Northeast High School,Mathematics,1267239,84799,1019,126,490,427,386,,
2010-11,611,Bibb County,286,Northeast High School,Reading,1267239,84686,1021,126,486,434,393,,
2010-11,611,Bibb County,286,Northeast High School,Writing,1267239,83235,1009,124,361,324,292,,
2010-11,647,Dougherty County,1050,Albany High School,Combined,1267239,84240,478,99,1338,1244,1214,,
2010-11,611,Bibb County,303,William S. Hutchings Career Center,Mathematics,1267239,84799,1019,47,490,427,391,,
2010-11,611,Bibb County,303,William S. Hutchings Career Center,Reading,1267239,84686,1021,46,486,434,392,,
2010-11,611,Bibb County,303,William S. Hutchings Career Center,Writing,1267239,83235,1009,44,361,324,301,,
2011-12,647,Dougherty County,1050,Albany High School,Combined,1284459,86367,550,105,1342,1211,1217,,
2010-11,611,Bibb County,386,Southwest High School,Mathematics,1267239,84799,1019,109,490,427,379,,
2010-11,611,Bibb County,386,Southwest High School,Reading,1267239,84686,1021,110,486,434,378,,
2010-11,611,Bibb County,386,Southwest High School,Writing,1267239,83235,1009,109,361,324,310,,
2012-13,647,Dougherty County,1050,Albany High School,Combined,1295267,86088,412,79,1337,1200,1154,,
2010-11,612,Bleckley County,105,Bleckley County High School,Mathematics,1267239,84799,90,90,490,524,524,,
2010-11,612,Bleckley County,105,Bleckley County High School,Reading,1267239,84686,90,90,486,519,519,,
2010-11,612,Bleckley County,105,Bleckley County High School,Writing,1267239,83235,89,89,361,346,346,,
2013-14,647,Dougherty County,1050,Albany High School,Combined,1306039,82852,466,93,1352,1215,1194,,
2010-11,613,Brantley County,1050,Brantley County High School,Mathematics,1267239,84799,123,123,490,448,448,,
2010-11,613,Brantley County,1050,Brantley County High School,Reading,1267239,84686,122,122,486,464,464,,
2010-11,613,Brantley County,1050,Brantley County High School,Writing,1267239,83235,121,121,361,359,359,,
